edad_persona_en_situacion_de_violencia,genero_de_la_persona_agresora,genero_persona_en_situacion_de_violencia,modalidad_de_violencia_laboral,modalidad_de_violencia_institucional,modalidad_de_violencia_mediatica,modalidad_de_violencia_obstetrica,modalidad_de_violencia_otras,modalidad_violencia_contra_libertad_reproductiva,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_domestica,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_simbolica,Ubicación,vinculo_con_la_persona_agresora
0,No informado,Mujer,,,,,,,Argentina,,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,,,1,1,,,"Jujuy, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,,1,1,1,,,"Mendoza, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Jujuy, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Mendoza, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Mendoza, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Salta, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Santa Fe, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Sin Informar, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,,1,,1,"San Luis, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,,,1,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Córdoba, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Córdoba, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Jujuy, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Mendoza, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Neuquén, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Río Negro, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Salta, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"San Juan, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Santa Fe, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Santiago Del Estero, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Sin Informar, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Córdoba, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,,1,"Mendoza, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,1,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,,1,1,1,,"Santa Fe, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,1,,,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,,,1,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Jujuy, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Misiones, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Salta, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Santa Fe, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,1,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,1,"Misiones, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,,1,,1,"Santa Fe, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Chaco, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Córdoba, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Córdoba, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Corrientes, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Jujuy, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Jujuy, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Mendoza, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Misiones, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Salta, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,,"Santiago Del Estero, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Chubut, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,1,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Córdoba, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Argentina,1,1,1,1,1,1,"Tucumán, Argentina",Pareja
0,No informado,Mujer,,,,,,,Boliviana,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,Boliviana,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Boliviana,1,,1,1,,1,"Sin Informar, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,Boliviana,1,1,1,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Boliviana,1,1,1,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Brasileña,1,,1,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Brasileña,1,1,,1,,1,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Brasileña,1,1,1,1,,1,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,Colombiana,1,1,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,,,,,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,,,1,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,,1,,,"Córdoba, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,1,,1,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,,1,,1,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,,1,1,,"Tucumán, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,1,,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,,,1,,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,1,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,,,1,1,,,"Jujuy, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,1,1,,,"Misiones, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,,,1,1,,1,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,1,1,,1,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,,,1,1,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,1,1,1,,"Formosa, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,,1,1,1,,"Santa Fe, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,,1,1,1,1,1,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,,1,,"Chaco, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,No informado,1,,,,1,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Chubut, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Chubut, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Chubut, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Córdoba, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Córdoba, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Entre Ríos, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Entre Ríos, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Jujuy, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Mendoza, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Mendoza, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Neuquén, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Salta, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Santa Fe, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Santa Fe, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Sin Informar, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Sin Informar, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Jujuy, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Mendoza, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Sin Informar, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Sin Informar, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,,1,,1,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,1,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,,1,1,,"Santa Fe, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Buenos Aires, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Ciudad Autónoma de Buenos Aires, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Jujuy, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Mendoza, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"San Luis, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Santa Fe, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Santa Fe, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Sin Informar, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Tucumán, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Tucumán, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Tucumán, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,,,,"Tucumán, Argentina",Sin Informar
0,No informado,Mujer,,,,,,,No informado,1,,1,,,1,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Ex pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Otro
0,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Otro familiar
0,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Padre o tutor
0,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Pareja
0,No informado,Mujer,,,,,,,No informado,1,,1,1,,,"Buenos Aires, Argentina",Sin Informar
